,Show,Gross,Average ticket price,Seats sold,Previews,Regular shows,Total performances
138,BARBARA COOK,187402,0,8311,13,13,26
139,BARBARA COOK: MOSTLY SONDHEIM,1202305,43,28176,5,26,31
140,BARBARA COOK'S BROADWAY,438437,43,10298,5,7,12
141,BAREFOOT IN THE PARK,4501355,54,82769,26,109,135
142,BARRY MANILOW,3466049,161,21647,0,17,17
143,BARRYMORE,6566575,38,174965,12,236,248
144,BE MORE CHILL,14217792,93,151941,30,177,207
145,BEA ARTHUR ON BROADWAY,1715877,46,37143,23,65,88
146,BEAUTIFUL,270497162,117,2290224,60,2416,2476
147,BEAUTY AND THE BEAST,429158458,50,7609397,46,5461,5507
148,BELLS ARE RINGING,3527176,50,71017,36,68,104
149,BENEFACTORS,4572197,0,161517,12,217,229
150,BENGAL TIGER AT THE BAGDHAD ZOO,7889821,82,97721,23,108,131
151,BERNHARDT/HAMLET,3886235,71,54742,26,63,89
152,BETRAYAL,32621468,98,305392,79,281,360
153,BIG,9736877,42,229895,22,193,215
154,BIG DEAL,2270309,0,65947,8,69,77
155,BIG FISH,10858194,74,146730,34,98,132
156,BIG RIVER,2802669,47,60161,28,67,95
157,BILL MAHER: VICTORY BEGINS AT HOME,533861,43,12034,8,16,24
158,BILLY ELLIOT: THE MUSICAL,183514398,102,1787108,40,1312,1352
159,BILOXI BLUES,13751235,0,519664,12,524,536
160,BLACK AND BLUE,33601122,0,934331,32,829,861
161,BLACK COMEDY/WHITE LIARS,650934,0,26256,25,38,63
162,BLACK TO THE FUTURE,905893,98,9178,0,6,6
163,BLACKBIRD,7855675,74,107039,37,108,145
164,BLAST!,8169127,40,203655,13,180,193
165,BLITHE SPIRIT,11603724,71,162121,20,145,165
166,BLITHE SPIRIT 1987,3248399,0,115210,24,104,128
167,BLOOD BROTHERS,20752831,0,555459,13,840,853
168,BLOOD KNOT,845464,0,47366,13,95,108
169,BLOODY BLOODY ANDREW JACKSON,5629559,61,91636,26,94,120
170,BOBBI BOLAND,100389,39,2570,7,0,7
171,BOEING-BOEING,13951563,61,227265,17,279,296
172,BOMBAY DREAMS,22437579,61,366843,30,284,314
173,BONNIE AND CLYDE,3277347,59,56138,33,36,69
174,BORN YESTERDAY,2792677,49,58288,28,73,101
175,BORN YESTERDAY 1989,3093950,0,125354,13,153,166
176,BOYS CHOIR OF HARLEM AND FRIENDS,182631,0,7327,4,14,18
177,BOYS IN AUTUMN,440271,0,27040,21,70,91
178,BOYS OF WINTER,237741,0,11420,31,9,40
179,BREAKFAST AT TIFFANY'S,2475937,66,37872,17,38,55
180,BREAKING THE CODE,4186299,0,164051,9,169,178
181,BRIDGE AND TUNNEL,6135555,60,102454,16,213,229
182,BRIEF ENCOUNTER,5210372,55,94033,21,111,132
183,BRIGHT STAR,7474494,67,111483,30,109,139
184,BRIGHTON BEACH MEMOIRS,539369,26,21631,25,9,34
185,BRIGHTON BEACH MEMOIRS 1984-1986,11823976,0,605927,0,808,808
186,BRING IN DA NOISE BRING IN DA FUNK,54448939,48,1118863,15,1135,1150
187,BRING IT ON THE MUSICAL,11410177,63,180680,21,171,192
188,BROADWAY,43747,0,3071,3,4,7
189,BROADWAY BOUND,15991551,0,612247,12,756,768
190,BROKEN GLASS,1393461,0,49960,15,73,88
191,BRONX BOMBERS,1212059,44,29511,31,29,60
192,BROOKLYN,10108600,51,196826,27,284,311
193,BROOKLYN BOY,2135668,49,43367,23,62,85
194,BUDDY,7085959,0,206332,15,225,240
195,BULLETS OVER BROADWAY,18176367,80,226497,33,156,189
196,BURIED CHILD,1361820,23,59056,14,72,86
197,BURN THE FLOOR,9285678,63,145582,8,185,193
198,BURN THIS,19923583,28,420185,40,539,579
199,BUS STOP,650106,21,31842,21,29,50
200,BUTLEY,5424237,73,74286,21,94,115
201,BUTTONS ON BROADWAY,364581,0,16924,3,33,36
202,BY JEEVES,2090954,59,35902,15,73,88
203,BYE BYE BIRDIE,11485459,75,152597,40,117,157
204,CABARET,160539464,70,2267052,72,2765,2837
205,CABARET 1987-1988,10220724,0,292878,18,261,279
206,CAFE CROWN,392105,0,28930,0,42,42
207,CAMELOT,3714457,0,75937,4,56,60
208,CANCIONES DE MI PADRE,635122,0,16880,0,17,17
209,CANDIDA,762375,0,28448,24,45,69
210,CANDIDE,5065916,34,146016,10,104,114
211,CARETAKER,385496,0,24335,23,45,68
212,"CAROLINE, OR CHANGE",5607244,76,73523,17,85,102
213,CAROUSEL,46906773,38,648453,85,518,603
214,CARRIE,341396,0,17752,16,5,21
215,CASA VALENTINA,3028464,56,54116,24,79,103
216,CAT ON A HOT TIN ROOF,24264540,86,282403,61,209,270
217,CAT ON A HOT TIN ROOF 2003-2004,8898242,71,124967,28,145,173
218,CATCH ME IF YOU CAN,16863570,70,242671,32,166,198
219,CATS,432003657,20,9333667,16,7385,7401
220,CATSKILLS ON BROADWAY,10354113,0,349212,19,453,472
221,CELEBRITY AUTOBIOGRAPHY,223394,54,4124,0,3,3
222,CHAPLIN,8518390,72,118148,24,135,159
223,CHARLIE AND THE CHOCOLATE FACTORY,43679424,100,436089,27,305,332
224,CHECKMATES,2396727,0,125264,16,172,188
225,CHESS,3806343,0,100726,17,68,85
226,CHICKEN & BISCUITS,1291806,45,31232,18,41,59
227,CHILDREN OF A LESSER GOD,3424264,55,62561,23,54,77
228,CHINA DOLL,12630662,143,86727,40,54,94
229,CHINESE COFFEE/SALOME,1395575,0,33793,29,30,59
230,CHINGLISH,4325401,61,72385,19,109,128
231,CHITA RIVERA: THE DANCER'S LIFE,3563420,62,57822,20,72,92
232,CHITTY CHITTY BANG BANG,27509505,64,426915,34,285,319
233,CHOIR BOY,3854430,66,57759,31,72,103
234,CHRONICLE OF A DEATH FORETOLD,1031381,0,48258,28,37,65
235,CHU CHEM,381039,0,24176,0,68,68
236,CINDERELLA,88166620,84,1039923,41,769,810
237,CIRQUE DREAMS: JUNGLE FANTASY,5166140,56,92789,10,70,80
238,CITY OF ANGELS,45328992,0,1013486,24,879,903
239,CLOSER,5318897,40,131326,17,172,189
240,CLYBOURNE PARK,8767402,66,133198,27,157,184
241,CLYDE'S,2099849,60,34848,24,62,86
242,COASTAL DISTURBANCES,2440201,0,141800,20,350,370
243,COLIN QUINN - AN IRISH WAKE,241753,37,6542,2,22,24
244,COLIN QUINN: LONG STORY SHORT,3075662,58,53090,21,135,156
245,COLLECTED STORIES,1348639,42,32239,22,54,76
246,COME BACK LITTLE SHEBA,2052427,54,37416,27,58,85
247,COME FLY AWAY,18368158,85,218299,26,188,214
248,COMEDY TONIGHT,134514,0,11981,5,9,14
249,COMPANY - Original,2532590,4,55352,43,60,103
250,CONSTELLATIONS,6642180,99,66543,29,76,105
251,CONTACT,60218526,64,931293,31,1010,1041
252,CONVERSATIONS WITH MY FATHER,10168415,0,334950,30,402,432
253,COPENHAGEN,11570839,44,263203,21,326,347
254,CORAM BOY,1602370,49,33065,17,30,47
255,CORPSE,686380,0,14293,28,121,149
256,CRAZY FOR YOU,92554871,1,2090822,26,1622,1648
257,CRAZY HE CALLS ME,143880,0,11084,16,7,23
258,CRISS ANGEL,434072,49,8794,0,7,7
259,CRY BABY,4077104,34,120932,45,68,113
260,CUBA TEDDY BEAR,1503086,0,57994,0,53,53
261,CURTAINS,43628368,75,582455,26,511,537
262,CYMBELINE,2080001,51,41739,34,40,74
263,CYRANO,4135600,0,125574,38,137,175
264,CYRANO DE BERGERAC,10467439,69,139229,53,108,161
265,DAME EDNA: BACK WITH A VENGEANCE,7021853,63,110199,17,163,180
266,DAME EDNA: THE ROYAL TOUR,9815693,48,203582,39,297,336
267,DAMES AT SEA,2540354,57,45367,32,85,117
268,DAMN YANKEES,27913661,0,657446,18,534,552
269,DANA H.,835529,48,16434,10,25,35
270,DANCE OF DEATH,5426431,50,108898,27,108,135
271,DANCE OF THE VAMPIRES,9431254,61,156118,61,56,117
272,DANCING AT LUGHNASA,10017136,0,314779,15,421,436
273,DANCING INTHE END ZONE,113224,0,7958,15,28,43
274,DANGEROUS GAMES,142550,0,9566,12,4,16
275,DANNY GANS ON BROADWAY,84362,0,8271,11,6,17
276,DAVE CHAPPELLE,3069512,212,14913,0,10,10
277,DEAD ACCOUNTS,3089827,79,39768,27,44,71
278,DEATH AND THE MAIDEN,7232393,0,190203,33,159,192
279,DEATH OF A SALESMAN,12868982,116,110550,30,78,108
280,DEATH OF A SALESMAN 1984,3681507,0,102821,0,88,88
281,DEATHANDKING'S HORSEMAN,474221,0,34521,19,33,52
282,DEF POETRY JAM,3377597,33,99641,17,198,215
283,DEFENDING THE CAVEMAN,11720395,25,320334,25,674,699
284,DEMOCRACY,7091677,56,124982,17,173,190
285,DERREN BROWN: SECRET,7258069,82,88119,10,113,123
286,DESIGN FOR LIVING,2984209,49,60606,30,69,99
287,DESIGN FOR LIVING 1985,2142794,0,107881,17,245,262
288,DESIRE UNDER THE ELMS,1381950,52,26397,16,32,48
289,DEUCE,5361739,60,86895,27,121,148
290,DIANA,376471,69,5448,6,0,6
291,"DIANA, THE MUSICAL",2467119,75,34370,16,34,50
